BARID,REGION,DSID,NPROJ,COST,PREPASS_CO,PREPASS_CH,PREPASS_ST,PREPASS_CT,PREPASS_CU,PREPASS_FISH,PREPASS_AgrInf,POSTPASS,sCO,sCH,sST,sCT,sCU,sAgri_Current,sRoadRail_Current,sInundHab_Current,sBuilding_Current,sPublicUse_Current,sAgri_Future,sRoadRail_Future,sInundHab_Future,sBuilding_Future,sPublicUse_Future,Coho_salmon,Chinook_salmon,Steelhead,Cutthroat_Trout,Chum,Agri_Current,RoadRail_Current,InundHab_Current,Building_Current,PublicUse_Current,Agri_Future,RoadRail_Future,InundHab_Future,Building_Future,PublicUse_Future,BarrierType,Name,PrimaryTG,DominantTG,Exclude_Reason,POINT_X,POINT_Y
039Ats1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Fat Elk,0,0,landowner not in interested,-124.2291048,43.17654891
039Bts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Fat Elk,0,0,landowner not in interested,-124.2290481,43.17656143
039Cts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Fat Elk,0,0,landowner not in interested,-124.2289997,43.17658578
039Dts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Fat Elk,0,0,landowner not in interested,-124.2289309,43.17660141
039Ets1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Fat Elk,1,0,landowner not in interested,-124.2288827,43.17662331
0ts2,Coos,46ts2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.1841823,43.42460819
100ts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.2211469,43.18690963
100ts2,Coos,99ts2,1,85000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.006106399,0.018374966,0.00599922,0,0,0.007981249,0.016201057,0.00704347,0,0,,,,0,,10.7735014,0.047508281,10.77777386,,,15.21799374,0.060866181,13.29001141,,,Tide gate,,1,0,,-124.2163056,43.48989397
10145fs1,Coquille,15ts1,1,75000,1,1,1,1,0,0,0,1,0.069492567,0,0.090526999,0.08344848,0,0,0,0,0,0,0,0,0,0,0,1.04073224,,1.050973891,1.920290735,,,,,,,,,,,,Upstream,Alder Creek,0,0,,-124.2865229,43.14035302
10150fs2,Coos,10151fs2,1,150000,1,0,1,1,0,0,0,1,0,0,0,0.018289316,0,0,0,0,0,0,0,0,0,0,0,,,,0.420868107,,,,,,,,,,,,Upstream,,0,0,,-124.1485701,43.42819757
10151fs2,Coos,46ts2,1,300000,1,1,1,1,0,0,0,1,0.09750801,0,0.125784495,0.132579666,0,0,0,0,0,0,0,0,0,0,0,1.460296167,,1.460296067,3.050882476,,,,,,,,,,,,Upstream,,0,0,,-124.1708426,43.43144802
10152fs2,Coos,46ts2,1,150000,1,0,1,1,0,0,0,1,0,0,0,0.035391763,0,0,0,0,0,0,0,0,0,0,0,,,,0.814424365,,,,,,,,,,,,Upstream,,0,0,,-124.1735299,43.43142484
10153fs2,Coos,48ts2,1,300000,1,0,1,1,0,0,0,1,0.200048254,0.060567905,0.275082929,0.142194762,0,0,0,0,0,0,0,0,0,0,0,2.995955898,0.435986614,3.193577388,3.272142092,,,,,,,,,,,,Upstream,,0,0,,-124.1399773,43.47646442
101ts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.2209538,43.18441245
101ts2,Coos,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.0634667,43.35725241
10245fs1,Coquille,3978fs1,0,75000,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Upstream,Sevenmile Creek,0,0,Stream barrier other than culvert,-124.3360864,43.17698942
102ts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.2403687,43.19279781
102ts2,Coos,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.0766654,43.36106622
10317fs2,Coos,10151fs2,0,0,0,0,0,0,0,0,0,1,0,0,0,0.10839997,0,0,0,0,0,0,0,0,0,0,0,,,,2.494466745,,,,,,,,,,,,Upstream,,0,0,Stream barrier other than culvert,-124.0906188,43.45547944
103ts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.2402203,43.19158436
103ts2,Coos,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.0959907,43.38051844
104ts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.2404058,43.19082829
104ts2,Coos,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.0459683,43.40559738
10571fs1,Coquille,3703fs1,1,75000,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Upstream,Gray Creek,0,0,,-124.1562611,43.11440814
105ts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.2404706,43.18779885
105ts2,Coos,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.0437779,43.40843206
106ts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.2403034,43.18777981
106ts2,Coos,NA,1,300000,0,0,0,0,0,0,0,1,0.098006523,0,0.114321591,0.090729626,0,0.03430524,0.051122924,0.033833641,0,0,0.039893786,0.191381818,0,0,0,1.467761978,,1.327217394,2.08784223,,60.52463531,0.132177785,60.7831192,,,76.06621552,0.719007432,,,,Tide gate,,1,0,,-124.1068503,43.37652173
107ts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.2405454,43.18638403
107ts2,Coos,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.1087329,43.37742695
108ts2,Coos,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.1120124,43.37693085
109ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0.011143887,0,0,0,0,0.002774958,0.058464625,0.002725171,0,0,0.003254513,0.051290752,0,0.012295082,0,0.166892704,,,0,,4.895849705,0.151159674,4.895849705,,,6.205439091,0.192695588,,3,,Tide gate,,1,0,,-124.1193636,43.37771156
10Ats1,Coquille,NA,1,550000,0,0,0,0,0,0,0,1,0.209886222,0,0,0.61603333,0,0.464031647,0.053263859,0.459202709,0,0,0.497847129,0.064900328,0.479906737,0,0,3.143290951,,,14.17596938,,818.6896973,0.137713149,824.9710083,,,949.2542725,0.243825763,905.5147095,,,Tide gate,Foster Dairy,1,0,,-124.2728748,43.18261515
10ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.002600357,0.015605044,0.003100726,0.010810811,0,0.002543835,0.011523726,0.003167788,0.008196721,0,,,,0,,4.58780241,0.040346678,5.570545197,2,,4.850377083,0.043293793,5.977159023,2,,Tide gate,,1,0,,-124.1558065,43.32542639
10ts5,Umpqua,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Butler Cr Farms,0,0,Non-primary tide gate,-124.0669,43.70293333
110ts2,Coos,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,,-124.1246252,43.37875099
111ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.006321095,0,0.006368778,0,0,0.006267161,0,0.0063165,0,0,,,,0,,11.15229034,,11.44169521,,,11.94971085,,11.91832256,,,Tide gate,,1,0,,-124.1554234,43.36564049
112ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.015206193,0,0.014933376,0.005405405,0,0.015038898,0.04502463,0.014820376,0.004098361,0,,,,0,,26.82824326,,26.82824326,1,,28.67494392,0.169154227,27.96390915,1,,Tide gate,,1,0,,-124.1742446,43.35290119
113ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.015716706,0,0.015434729,0.016216216,0,0.014544395,0,0.014697503,0.012295082,0,,,,0,,27.72893906,,27.72893906,3,,27.7320652,,27.7320652,3,,Tide gate,,1,0,,-124.1721562,43.35323585
114ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.015207713,0.022950881,0.015062263,0,0,0.014815816,0.081695403,0.014945427,0,0,,,,0,,26.83092499,0.059339263,27.05979347,,,28.24958801,0.306923628,28.19986343,,,Tide gate,,1,0,,-124.1575786,43.33629193
115ts2,Coos,NA,1,150000,0,0,0,0,0,0,0,1,0,0,0.068389018,0.040363708,0,0.038695874,0,0.039854603,0,0,0.036411776,0,0.038867094,0,0,,,0.793962836,0.928837221,,68.27101898,,71.5999527,,,69.42700195,,73.33659363,,,Tide gate,,1,0,,-124.1598011,43.32803009
116ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.013432573,0.084509666,0.013546652,0.016216216,0,0.01268893,0.071440665,0.013195616,0.016393443,0,,,,0,,23.699049,0.218498856,24.33695412,3,,24.19421577,0.268397331,24.89822197,4,,Tide gate,,1,0,,-124.1565042,43.31882739
117ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.002984907,0.017717035,0.003666008,0,0,0.002874689,0.031753349,0.003659594,0,0,,,,0,,5.266263008,0.045807209,6.586089134,,,5.481223106,0.119295001,6.905125618,,,Tide gate,,1,0,,-124.1529442,43.31221381
118ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000984253,0.014565227,0.00101203,0,0,0.001109153,0.016817362,0.001140027,0,0,,,,0,,1.736515403,0.037658241,1.818141222,,,2.114842176,0.063181594,2.151065588,,,Tide gate,,1,0,,-124.1503957,43.31240472
119ts2,Coos,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0.022960606,0,0.003917769,0.024248682,0.00518996,0.016216216,0.181818182,0.012133939,0.164045169,0.009501006,0.028688525,0.103448276,,,,0.528362404,,6.912108421,0.062694713,9.323914528,3,2,23.1360054,0.616305649,17.92702675,7,3,Tide gate,,1,0,,-124.1929758,43.33322268
11Ats1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,,-124.2770981,43.19199485
11Bts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,,-124.2770814,43.19195628
11ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.001121208,0.005667203,0.001451771,0.010810811,0,0.001038047,0.004939016,0.001445969,0.008196721,0,,,,0,,1.978143454,0.014652493,2.608148098,2,,1.979263663,0.018555522,2.728334665,2,,Tide gate,,1,0,,-124.1551999,43.3235537
11ts5,Umpqua,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Butler Cr Farms,0,0,Non-primary tide gate,-124.06805,43.7028
120ts2,Coos,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0.012333997,0,0.006389371,0,0.00666603,0.021621622,0,0.006355311,0,0.006774251,0.020491803,0,,,,0.28382614,,11.27274895,,11.97571659,4,,12.11778927,,12.78203297,5,,Tide gate,,1,0,,-124.2008662,43.32945936
121ts2,Coos,NA,1,85000,0.400000006,0.400000006,0.400000006,0.400000006,0,0,0,1,0,0,0,0.010791915,0,0.019623784,0.074544175,0.019714506,0.075675676,0,0.019143087,0.081829211,0.020283085,0.073770492,0,,,,0.248340235,,34.62218475,0.192733184,35.41768265,14,,36.50047684,0.307426333,38.27125168,18,,Tide gate,,1,1,,-124.2203393,43.34752754
12241fs2,Coos,15621fs2,0,0,0.400000006,0.400000006,0.400000006,0.400000006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Upstream,,0,0,Stream barrier other than culvert,-124.2284898,43.26957516
122ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.013994201,0.01677815,0.013799736,0.032432432,0,0.013252224,0.013313468,0.01324558,0.028688525,0,,,,0,,24.68992805,0.043379731,24.79162598,6,,25.26825905,0.050017722,24.99249649,7,,Tide gate,Noble Creek,1,0,,-124.2254468,43.34434475
123ts2,Coos,NA,1,300000,0,0,0,0,0,0,0,1,0,0,0,0.000370476,0,0.067685826,0.091602279,0.071768004,0.021621622,0,0.064067578,0.100537066,0.071281337,0.016393443,0,,,,0.008525273,,119.4179077,0.236836731,128.9333038,4,,122.1588287,0.377710372,134.4975891,4,,Tide gate,Willanch Slough,1,0,,-124.2003543,43.46675695
124ts2,Coos,52ts2,1,85000,0,0,0,0,0,0,0,1,0,0,0.070553701,0.03589955,0,0.036704847,0,0.039431148,0,0,0.034008918,0,0.038155743,0,0,,,0.819093742,0.826109402,,64.758255,,70.83920288,,,64.84542847,,71.99437714,,,Tide gate,Kentuck Slough,1,0,,-124.1837666,43.46674904
125ts2,Coos,52ts2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Larson Slough,0,0,Non-primary,-124.1874621,43.46591716
126ts2,Coos,48ts2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Palouse Slough,0,0,Non-primary,-124.1921537,43.46097607
127ts2,Coos,48ts2,1,60000,0,0,0,0,0,0,0,1,0,0,0,0.020251011,0,0.010866039,0,0.011329709,0,0,0.010431071,0,0.011119219,0,0,,,,0.466010034,,19.17092133,,20.35415077,,,19.88911438,,20.98036003,,,Tide gate,,1,0,,-124.1855364,43.45884284
128ts2,Coos,52ts2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.1850835,43.46850913
129ts2,Coos,45ts2,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.008246197,0.03711056,0.008098249,0,0,0.007802233,0.030140758,0.007839377,0,0,,,,0,,14.54874229,0.095948964,14.54873943,,,14.87666035,0.113236614,14.79177284,,,Tide gate,,1,0,,-124.1804086,43.40119479
12Ats1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.2595919,43.19541777
12Bts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.2595811,43.19535752
12Dts1,Coquille,NA,0,815000,0,0,0,0,0,0,0,1,1,0,0.282809434,0.426216729,0,1,0.737541023,1,0.005405405,0,1,0.557278439,1,0.004098361,0.068965517,14.97616622,,3.283278317,9.807968187,,1764.297119,1.906904578,1796.529053,1,,1906.718384,2.093654156,1886.855591,1,2,Tide gate,Winter Lake,1,0,Replaced and restored. Winter Lake,-124.2600425,43.19569185
12ts2,Coos,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0.01260054,0,0.004066931,0.032928498,0.004449373,0.010810811,0,0.004390722,0.02830146,0.004853777,0.008196721,0,,,,0.289959758,,7.175275326,0.085136287,7.993428707,2,,8.371870995,0.106326506,9.158376694,2,,Tide gate,,1,0,,-124.1537116,43.32116867
12ts5,Umpqua,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary tide gate,-124.1087833,43.70525
130ts2,Coos,45ts2,1,150000,0,0,0,0,0,0,0,1,0,0,0,0.068014657,0,0.020137267,0.014289285,0.020802045,0,0,0.02916825,0.058601975,0.026812314,0.012295082,0.034482759,,,,1.565132361,,35.52812195,0.036944795,37.37147903,,,55.61563873,0.220163316,50.59096527,3,1,Tide gate,,1,0,,-124.180186,43.40123539
132ts2,Coos,99ts2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.2125405,43.49034909
133ts2,Coos,99ts2,1,85000,0,0,0,0,0,0,0,1,0,0,0,0.02756608,0,0.011994999,0.025813527,0.013558521,0,0,0.011338526,0.019582182,0.013599061,0,0,,,,0.634342159,,21.16274261,0.066740602,24.35827637,,,21.61937523,0.073568821,25.65946388,,,Tide gate,,1,0,,-124.2122197,43.49007527
134ts2,Coos,99ts2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.2079968,43.49244674
135ts2,Coos,22ts2,1,150000,0,0,0,0,0,0,0,1,0,0,0,0.043689092,0,0.04148531,0.106325493,0.041737906,0.027027027,0,0.039770862,0.110777272,0.04135695,0.020491803,0,,,,1.005359937,,73.19241333,0.274903446,74.98336029,5,,75.83183289,0.416182071,78.03459167,5,,Tide gate,,1,0,,-124.2152328,43.25452401
136ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.001201808,0.010246128,0.001181017,0,0,0.001590996,0.007792654,0.001375206,0,0,,,,0,,2.120346785,0.026491256,2.121731997,,,3.033581972,0.029276429,2.594815969,,,Tide gate,,1,0,,-124.1404587,43.37491307
13743fs2,Coos,67ts2,1,150000,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Upstream,,0,0,,-124.2282853,43.26945918
137ts2,Coos,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0.005543225,0,0.001780081,0,0.001849196,0,0,0.002021877,0,0.00210768,0,0,,,,0.127558983,,3.140590906,,3.32213378,,,3.855149984,,3.976887465,,,Tide gate,,1,0,,-124.1554193,43.31205772
138ts2,Coos,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0.010734151,0,0.001132845,0.120330993,0.008137183,0.097297297,0.818181818,0.001662292,0.120886541,0.009439528,0.094262295,0.310344828,,,,0.247010989,,1.998674631,0.31111452,14.61868477,18,9,3.169523478,0.454161853,17.81102562,23,9,Tide gate,,1,0,,-124.1973143,43.34727105
139ts2,Coos,NA,1,150000,0,0,0,0,0,0,0,1,0,0,0,0.023290286,0,0,0,0.002282717,0,0,0,0,0.003369832,0.008196721,0,,,,0.535948888,,,,4.100967407,,,,,6.35838604,2,,Tide gate,,1,0,,-124.2295893,43.26534118
13ts1,Coquille,NA,1,815000,0,0,0,0,0,0,0,1,0.224896694,0,0.316263377,0.299861154,0,0.037579134,0,0.038366035,0,0,0.047173956,0.012611549,0.045455453,0,0,3.368090267,,3.671662126,6.900312568,,66.30075836,,68.92569733,,,89.94744873,0.047380663,85.76787567,,,Tide gate,Hatchet Slough,1,0,,-124.2961944,43.15446634
13ts2,Coos,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02453884,0,0.025046787,0,0,0.023079058,0.003522524,0.024194373,0.004098361,0,,,,0,,43.29380417,,44.99728012,,,44.00526428,0.013233863,45.65128708,1,,Tide gate,,1,0,,-124.1491329,43.3115369
